ANON_ID,Group,Post,Pre,AGE_GROUP,INCOME_CATEGORY,HOUSEHOLD_OCCUPANCY,CHILDREN_AT_HOME,HOUSEHOLD_SIZE,NUMBER_OF_BEDROOMS,OCCUPATION,EMPLOYMENT_STATUS,HIGHEST_QUALIFICATION,HOME_OWNERSHIP,HOME_TYPE,HOME_VALUE,SOCIAL_GRADE,TARIFF_GROUP,Delta,Delta_pct,Cluster
01b422497e7deb1a7c0ad65e11faabdd20dc9da6a4e5200f8436c27d94fa43d3,Control,0.25837926136363637,0.22162657931679924,55-64,"100,000+",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,0.036752682046837126,0.16583156298370608,7.0
029cf457eace7f2a0ed8f55912f926ba9855f3748a117f73fc9b2d76e72a1207,Control,0.19452732434350603,0.19765579878900794,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Semi-Detached House,250-500k,Social grade C2,Easy Online,-0.0031284744455019053,-0.015827891034158145,5.0
038dcb89b729d80f4b8308951234739418b5886fd79e2892a6055ddc141e59b8,Control,0.27288976377952756,0.29190930451127817,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Terraced House,0-100k,Social grade C2,EDF Essentials,-0.019019540731750606,-0.06515565087448512,1.0
054b88a4807b59fb512c26c563b70b99c62c8624b6628d8cfd0e2443d8b5dbb5,Control,0.07531054131054131,0.08102808988764044,65-74,"10,000-19,999",Single Adult Household,0,1,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Flat or Maisonette,0-100k,Social grade C2,EDF Essentials,-0.005717548577099135,-0.07056254917310172,5.0
05a6be03d9644fd6db6a108c1936e70ed878cb8af9f39f4011ddb97c52b22623,Control,0.28614814814814815,0.3414866600790514,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,Deemed,-0.05533851193090322,-0.16205175311414158,1.0
05b4aa1ede9b29285644b0ba4293a5906334577e49808f8fd05133d8f5fc786a,Control,0.122981455064194,0.12718979118329465,25-34,"20,000-29,999",Single Adult Household,0,1,2,Professional,Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,150-250k,Social grade C1,EDF Essentials,-0.004208336119100653,-0.033087058952993895,1.0
06c627e91a8a0d68d2094831a0399fef414ddafcde9f29aee7697e89226f2e56,Control,0.07309427121102248,0.0878871722846442,35-44,"100,000+",Couple Household,2+,3-4,1,Director/Managerial,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,500k+,Social grade B,EDF Essentials,-0.014792901073621717,-0.16831695330589627,5.0
08679c8df992979c3d276f09cbe9eb0550b6f46c80ac527185ae5e4e25218ff3,Control,0.18096494992846923,0.242071761416589,55-64,"30,000-39,999",Couple Household,0,2,3,Office Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Standard,-0.06110681148811978,-0.25243263043374614,1.0
087ddbeefa26fa1fbd6f4971eac1868b6c5fb5ad7d7aedbde8deedf234402c2c,Control,0.10366474820143884,0.1569273404750815,18-24,"50,000-74,999",Couple Household,1,5+,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Deemed,-0.05326259227364266,-0.339409258529429,5.0
0a2ba71e7c6ccbb66f88da696be390e26c04d9a1f9019f7fe9f5f3ba908364c4,Control,0.005287102473498234,0.006426237161531279,65-74,"40,000-49,999",Couple Household,0,2,4,Student,Not Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,-0.0011391346880330454,-0.17726309493401984,5.0
0a7f4b71415c2d585bae67a15f1a2378f8c7734fb5336a7252e8938350d53be1,Control,0.22277021276595743,0.2838565459610028,55-64,"50,000-74,999",Couple Household,1,3-4,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C2,EDF Essentials,-0.06108633319504536,-0.21520142503050685,7.0
0c40a250c1840353508b566e1fdcd0b761714d44d3c750f550ef584b2299397a,Control,0.44672844827586206,0.4044692343823391,45-54,"100,000+",Couple Household,2+,3-4,5+,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,Standard,0.04225921389352294,0.10448066330201,2.0
0c825cf28101d17ed4c3e656feca2bc4552d5cbca65f8cba2ebd65c365456900,Control,0.0884113475177305,0.08896629213483147,25-34,"75,000-99,999",Single Adult Household,0,1,2,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade B,Standard,-0.0005549446171009692,-0.006237695241473384,5.0
0d900847200123aeae905a6e29a478d25e5ef023d53fdbec6bf2ed6da77afe37,Control,0.26228849028400597,0.2855649139134481,55-64,"20,000-29,999",Single Adult Household,1,2,2,Looking after home,Not Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade D,Standard,-0.023276423629442156,-0.08151009628758878,4.0
0db6ef7b97d31610660cb4f7c02ea0abece953ce56a7e8eaa0d264eab65c25fe,Control,0.3996323319027182,0.3412036346691519,55-64,"30,000-39,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Standard,0.05842869723356631,0.17124289221075178,1.0
0f0cc3f45f533aaf70c1119845b0537d2be4bb865d50634d033a11d9155d533e,Control,0.08875997150997152,0.11322562674094708,35-44,"50,000-74,999",Single Adult Household,0,1,2,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,150-250k,Social grade C1,Standard,-0.02446565523097556,-0.2160787794705822,5.0
102aca52f0068487dab9d55284483113981f1f89e7972fd79e8ceb4a3f1be871,Control,0.466511396011396,0.26378222429036763,55-64,"75,000-99,999",Couple Household,2+,3-4,4,Director/Managerial,Employed,University Degree or Higher,Private Renting,Detached House,500k+,Social grade B,Deemed,0.2027291717210284,0.768547510228995,0.0
109c689005d6f9f1696f5bed4c366444a144a0b8b5d6f3ca92c16dd85299dd47,Control,0.3797173219978746,0.38457572906867354,45-54,"75,000-99,999",Couple Household,1,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Fix Total Service,-0.004858407070798931,-0.012633160918824826,1.0
116ea0da6e24a17565b246ee8aa872397c345dc8520ea62633b73e321d9a3497,Control,0.11611396011396012,0.18479599441080577,45-54,"40,000-49,999",Couple Household,1,2,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,EDF Essentials,-0.06868203429684565,-0.37166408566283043,5.0
11a84b74fa5fea7af46b8cf0c05d4bc34475f4b6dc2b933b6e4ebadafc7d2ea5,Control,0.1526272273699216,0.17667941454202077,45-54,"30,000-39,999",Single Adult Household,1,2,2,Skilled Manual Worker,Employed,GCSE Equivalent,Owner Occupied,Terraced House,100-150k,Social grade C2,Easy Online,-0.02405218717209917,-0.13613463251757996,1.0
11f1a7a2f4fd4dabbea1bbb584bdcbde49774c783280c600c8fce240bea0f995,Control,0.16201490418736691,0.11639450395901257,55-64,"30,000-39,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade C2,EDF Essentials,0.04562040022835434,0.3919463434838746,5.0
12fcb4d76571f9608497228225b98866df52e12db5cae6702d0972a015cc95f0,Control,0.381977207977208,0.37012215513237345,45-54,"50,000-74,999",Couple Household,1,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Easy Online,0.011855052844834568,0.03203010865586966,3.0
1345d29a9eb68f9f9e18b41deb93800f7ce9db56990756e180b65be466c524b1,Control,0.3249223646723646,0.3249966840360019,45-54,"50,000-74,999",Couple Household,1,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,EDF Essentials,-7.431936363727631e-05,-0.00022867729822450587,0.0
13c9dcb73c897a3ad50c5a9ce1a83814fed0d34d302ee78b8db17a53386dc817,Control,0.27957021276595745,0.35456369575361646,75+,"10,000-19,999",Single Adult Household,1,2,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,-0.07499348298765901,-0.21150919816610722,7.0
13fedd701678971ce69a96bdf32041b7d1a07f7d7dd4cca7bfcecf00b5058e39,Control,0.2383592302209551,0.21506508600650862,25-34,"75,000-99,999",Single Adult Household,0,1,2,Professional,Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,250-500k,Social grade C1,EDF Essentials,0.023294144214446477,0.1083120679743504,2.0
14521d979c6134082023d142fc7d2a6c786081c1a006edb0dc60839993ab4f3b,Control,0.2892605435801312,0.2580607192900514,25-34,"30,000-39,999",Single Adult Household,1,3-4,2,Service Sector,Employed,GCSE Equivalent,Private Renting,Terraced House,150-250k,Social grade D,Standard,0.03119982429007978,0.12090109791181448,2.0
14def0ed6d323f619a44aa64cac5cc1ee7c94777f3302063c488b8a0c3138043,Control,0.2600205673758865,0.34192093023255815,55-64,"50,000-74,999",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade C1,EDF Essentials,-0.08190036285667163,-0.23953012411661065,1.0
14fade68bc99534936945a0e4f146012690eb33e897d92a18338f0190f6b46cd,Control,0.06368510638297872,0.08427623026926648,55-64,"100,000+",Single Adult Household,0,2,1,Office Worker,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade C1,Standard,-0.020591123886287754,-0.24432896227676718,5.0
14fbb77da5936a2ba29bcbe77e2e650a67192308d6eb5c74e1a6f8246e94f639,Control,0.36494971264367815,0.30500378250591015,55-64,"20,000-29,999",Couple Household,0,2,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C1,Standard,0.059945930137768,0.1965415957967879,1.0
152601bc17d06ef4016f925657e574a322125f973481f2ef417a54dbedadd4ab,Control,0.2667123142250531,0.24578135352579272,18-24,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,0.02093096069926037,0.0851608976799936,0.0
16ed6ca1d8132e9b8d0248292c12ba3515bdf328e1a6c395067bdfc0beb717cd,Control,0.19259787234042552,0.16188873370577284,25-34,"50,000-74,999",Couple Household,1,3-4,2,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade B,Deemed,0.03070913863465269,0.18969287072481203,5.0
1a7326f8970b1b63a2de6ba8908137fa55f6f53d650a3d4001061575daab5329,Control,0.3859220314735336,0.39023433115060807,65-74,"30,000-39,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade B,EDF Essentials,-0.0043122996770744715,-0.011050538952735481,7.0
1d00b4220b95d8c8f699cbcf41b4c0d968591de1ba148b67daab3b9632caecfe,Control,0.234877640203933,0.23864944134078214,65-74,"30,000-39,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Easy Online,-0.0037718011368491344,-0.015804776728821874,1.0
1d43159039a5a2c8072099e7b37b73ea3bbfc545b42e136140a9c423766941ff,Control,0.3269679487179487,0.36188780260707637,45-54,"50,000-74,999",Couple Household,1,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,EDF Essentials,-0.03491985388912766,-0.09649359176397077,4.0
1d8d1cc8eb7b30b825cf034be5b4ca0a2a2feb0982640775dc2695346f75504e,Control,0.24114609929078015,0.26749015932521086,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Deemed,-0.02634406003443071,-0.09848609048231177,7.0
1f3a93eeae1a5b542d23efcbdd2f389d665e26ba1edf321d0485a6f45d01af76,Control,0.22041951566951568,0.2458244382022472,65-74,"40,000-49,999",Couple Household,0,2,4,Retired,Not Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Essentials Exclusive,-0.025404922532731522,-0.10334579718160537,4.0
