HASH_KEY,AGE_GROUP,INCOME_CATEGORY,HOUSEHOLD_OCCUPANCY,CHILDREN_AT_HOME,HOUSEHOLD_SIZE,NUMBER_OF_BEDROOMS,OCCUPATION,EMPLOYMENT_STATUS,HIGHEST_QUALIFICATION,HOME_OWNERSHIP,HOME_TYPE,HOME_VALUE,SOCIAL_GRADE,TARIFF_GROUP,ESTIMATED_CONSUMPTION_ELEC_DAY,ESTIMATED_CONSUMPTION_ELEC_NIGHT,ESTIMATED_CONSUMPTION_TOTAL
8399087eaac9d88e3c6fce0c76484d18a40576c2fd46b74ac8a327a772f3e501,35-44,"50,000-74,999",Couple Household,0,2,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Deemed,2088,0,2088
b2d78d29b401e989873368a90f4079ba17bf5448db4c739f7b67452f717e9135,65-74,"30,000-39,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,EDF Essentials,2422,0,2422
dc1ec3fca1531822856b50fabe334a17a6053dccb664988d09f2c8aa5b467ebb,55-64,"0-9,999",Single Adult Household,0,1,1,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,250-500k,Social grade C1,Safeguard Assist,1374,0,1374
cd68542ea1a700c995074c15c8f41973443359a9bbff2a3d7abd277663598d19,75+,"20,000-29,999",Single Adult Household,0,1,1,Retired,Not Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,250-500k,Social grade C1,EDF Essentials,2619,0,2619
fef90b0143496f6e158ba9db416049340d590648659fc67a2f948bc3056371e6,55-64,"100,000+",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Standard,5504,0,5504
db4f0b85bc58668416e8422bee733023b56cbb69881eeeacba6ea272042420a0,75+,"30,000-39,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade A,Fix Total Service,2704,0,2704
5f837c9039d17d3b43e0374864c3654b17af985a328b3c0b8a10b40f1098c511,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Deemed,1664,0,1664
7029e980db22c91b04bd1d8e9ece425cfa8505301993634f6d326902a97e088d,65-74,"40,000-49,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,EDF Essentials,3441,0,3441
28b2d7ad16d5b1855286f1c4291cc73e2e854d6a93723d20d6f7751f3684abf2,65-74,"20,000-29,999",Single Adult Household,0,1,1,Looking after home,Not Employed,GCSE Equivalent,Owner Occupied,Flat or Maisonette,150-250k,Social grade C2,Deemed,5821,0,5821
249362740883754d47a7839c508aa03b250165aac5add4e9561645ab90c41f70,18-24,"75,000-99,999",Single Adult Household,0,1,1,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade C1,Standard,1509,0,1509
14521d979c6134082023d142fc7d2a6c786081c1a006edb0dc60839993ab4f3b,25-34,"30,000-39,999",Single Adult Household,1,3-4,2,Service Sector,Employed,GCSE Equivalent,Private Renting,Terraced House,150-250k,Social grade D,Standard,2854,0,2854
30e63e1340372d1fdc1087cf6cc83475055c25466296df124fdbe650e2f15350,55-64,"50,000-74,999",Couple Household,0,2,4,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C2,EDF Essentials,1616,0,1616
463ba6524ce846be480783b96a2779b5a789d37bdacf863d028688674834230b,45-54,"50,000-74,999",Couple Household,1,3-4,4,Professional,Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C1,Easy Online,4205,0,4205
dd9c3327d6f66b01e8d4ca664d19842ff7539beb745df1096cb7e484a4d608b2,45-54,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Easy Online,2024,0,2024
34700b0b606f204b6a649b00ad488d0421d06237105ef85063c82c4e7cbde2b8,55-64,"40,000-49,999",Couple Household,0,2,4,Director/Managerial,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Standard,8741,0,8741
9ad55db22547ac29844ba98b86c00913063976745bd4033cc5e0b08ce9b4e78e,55-64,"30,000-39,999",Single Adult Household,0,1,2,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,1999,0,1999
