ANON_ID,AGE_GROUP,INCOME_CATEGORY,HOUSEHOLD_OCCUPANCY,CHILDREN_AT_HOME,HOUSEHOLD_SIZE,NUMBER_OF_BEDROOMS,OCCUPATION,EMPLOYMENT_STATUS,HIGHEST_QUALIFICATION,HOME_OWNERSHIP,HOME_TYPE,HOME_VALUE,SOCIAL_GRADE,TARIFF_GROUP,Cluster_Comp04_k02,Cluster_Comp04_k03,Cluster_Comp04_k04,Cluster_Comp04_k05,Cluster_Comp04_k06,Cluster_Comp04_k07,Cluster_Comp04_k08,Cluster_Comp04_k09,Cluster_Comp06_k02,Cluster_Comp06_k03,Cluster_Comp06_k04,Cluster_Comp06_k05,Cluster_Comp06_k06,Cluster_Comp06_k07,Cluster_Comp06_k08,Cluster_Comp06_k09,Group
8399087eaac9d88e3c6fce0c76484d18a40576c2fd46b74ac8a327a772f3e501,35-44,"50,000-74,999",Couple Household,0,2,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Deemed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dc1ec3fca1531822856b50fabe334a17a6053dccb664988d09f2c8aa5b467ebb,55-64,"0-9,999",Single Adult Household,0,1,1,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,250-500k,Social grade C1,Safeguard Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fef90b0143496f6e158ba9db416049340d590648659fc67a2f948bc3056371e6,55-64,"100,000+",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Standard,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0
db4f0b85bc58668416e8422bee733023b56cbb69881eeeacba6ea272042420a0,75+,"30,000-39,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade A,Fix Total Service,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,0
5f837c9039d17d3b43e0374864c3654b17af985a328b3c0b8a10b40f1098c511,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Deemed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
7029e980db22c91b04bd1d8e9ece425cfa8505301993634f6d326902a97e088d,65-74,"40,000-49,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,EDF Essentials,0.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,4.0,0
249362740883754d47a7839c508aa03b250165aac5add4e9561645ab90c41f70,18-24,"75,000-99,999",Single Adult Household,0,1,1,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade C1,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14521d979c6134082023d142fc7d2a6c786081c1a006edb0dc60839993ab4f3b,25-34,"30,000-39,999",Single Adult Household,1,3-4,2,Service Sector,Employed,GCSE Equivalent,Private Renting,Terraced House,150-250k,Social grade D,Standard,1.0,2.0,3.0,1.0,2.0,4.0,5.0,6.0,0.0,2.0,3.0,2.0,5.0,2.0,5.0,6.0,0
463ba6524ce846be480783b96a2779b5a789d37bdacf863d028688674834230b,45-54,"50,000-74,999",Couple Household,1,3-4,4,Professional,Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C1,Easy Online,1.0,2.0,3.0,4.0,4.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,5.0,6.0,1
dd9c3327d6f66b01e8d4ca664d19842ff7539beb745df1096cb7e484a4d608b2,45-54,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Easy Online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34700b0b606f204b6a649b00ad488d0421d06237105ef85063c82c4e7cbde2b8,55-64,"40,000-49,999",Couple Household,0,2,4,Director/Managerial,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Standard,1.0,2.0,3.0,2.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,1.0,4.0,5.0,6.0,7.0,0
9ad55db22547ac29844ba98b86c00913063976745bd4033cc5e0b08ce9b4e78e,55-64,"30,000-39,999",Single Adult Household,0,1,2,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3f16d3eb53fd16affeed228cb883e02c4a718d6d7fb427edd50a4c0537531bc9,65-74,"20,000-29,999",Single Adult Household,0,1,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,0.0,2.0,3.0,4.0,0.0,4.0,5.0,6.0,0.0,2.0,3.0,4.0,5.0,6.0,5.0,0.0,1
4dec50c814da3b9de97f15e4de1a079e646f14b663abb4e7ea2175314daad833,35-44,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,EDF Essentials,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0
68f472858f7c844c56c8a9c3e8cd9ec454e4276ce3ca38d81a7175fe508eb101,45-54,"50,000-74,999",Couple Household,1,2,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade B,EDF Essentials,0.0,0.0,0.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0
6540bc7aaed6ec9254edbda80095b63ebf662a58dbdfd2d54dd784905b71718d,75+,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade C1,EDF Essentials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a6f9c3e86e3bc1b32d2d6d33771030f6531b7bc240bf1373de42503c6166c7f1,65-74,"20,000-29,999",Single Adult Household,0,1,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C2,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
